CATEGORY_ID,PARENT_CATEGORY_ID,NAME
50902,50900,페인트보조제
50903,50900,페인트용품
51000,50000,몰딩·걸레받이
51100,50000,가구부속품
51200,50000,손잡이·방문·유리
51300,50000,접착제·보수용품
51400,50000,안전·방범용품
51401,51400,잠금고정·방범용품
51402,51400,안전가드·안전테이프
51403,51400,소화기·재난용품
60000,,인테리어시공
60100,60000,주방
60101,60100,종합시공
60102,60100,부분시공
60103,60102,싱크대·싱크볼
60104,60102,쿡탑·후드
60105,60102,도어교체
60106,60102,주방수전
60200,60000,욕실
60201,60200,종합시공
60202,60200,부분시공
60203,60202,욕실수전·샤워기
60204,60202,세면대
60205,60202,양변기
60206,60202,매립욕조
60207,60202,욕실상하부장
60208,60202,파티션·샤워부스
60209,60202,환풍기
60210,60202,욕실기기·부자재
60300,60000,빌트인수납
60301,60300,붙박이장
60302,60300,현관장
60400,60000,중문·도어
60500,60000,홈케어
60600,60000,창호·폴딩도어
60700,60000,벽지·장판·마루
